Interior ou Reg.Metropolitana;Totais;Totais;Totais;Totais;Totais;Reg. Metropolitana;Reg. Metropolitana;Reg. Metropolitana;Reg. Metropolitana;Reg. Metropolitana;Interior;Interior;Interior;Interior;Interior
UF;População;Casos Acumulados;Incidência covid-19 (100 mil hab);Óbitos Acumulados;Taxa mortalidade (100 mil hab);População;Casos Acumulados;Incidência covid-19 (100 mil hab);Óbitos Acumulados;Taxa mortalidade (100 mil hab);População;Casos Acumulados;Incidência covid-19 (100 mil hab);Óbitos Acumulados;Taxa mortalidade (100 mil hab)
Totais;210.147.125;39.221.872;18.664;715.488;340;89.614.862;15.056.701;16.802;349.708;390;120.532.263;24.165.171;20.049;365.780;303
AC;881.935;174.381;19.773;2.103;238;407.319;94.037;23.087;1.244;305;474.616;80.344;16.928;859;181
AL;3.337.357;350.608;10.506;7.368;221;1.291.571;166.330;12.878;3.887;301;2.045.786;184.278;9.008;3.481;170
AM;4.144.597;647.769;15.629;14.546;351;2.676.936;412.712;15.417;11.524;430;1.467.661;235.057;16.016;3.022;206
AP;845.731;192.004;22.703;2.178;258;646.323;143.759;22.243;1.876;290;199.408;48.245;24.194;302;151
BA;14.873.064;1.851.137;12.446;32.107;216;3.929.209;489.336;12.454;11.793;300;10.943.855;1.361.801;12.444;20.314;186
CE;9.132.078;1.536.345;16.824;28.215;309;4.106.245;654.636;15.942;15.932;388;5.025.833;881.709;17.544;12.283;244
DF;3.015.268;961.099;31.874;12.032;399;3.015.268;961.099;31.874;12.032;399;-;-;-;-;-
ES;4.018.650;1.391.583;34.628;15.236;379;1.979.337;649.438;32.811;7.959;402;2.039.313;742.145;36.392;7.277;357
GO;7.018.354;2.071.264;29.512;28.602;408;2.613.491;869.036;33.252;12.601;482;4.404.863;1.202.228;27.293;16.001;363
MA;7.075.181;502.518;7.103;11.104;157;1.633.117;101.765;6.231;3.547;217;5.442.064;400.753;7.364;7.557;139
MG;21.168.791;4.365.682;20.623;67.101;317;5.353.580;881.932;16.474;17.228;322;15.815.211;3.483.750;22.028;49.873;315
MS;2.778.986;638.619;22.980;11.341;408;895.982;222.013;24.779;4.790;535;1.883.004;416.606;22.125;6.551;348
MT;3.484.466;932.436;26.760;15.274;438;952.513;231.943;24.351;5.571;585;2.531.953;700.493;27.666;9.703;383
PA;8.602.865;906.263;10.534;19.333;225;2.510.274;237.233;9.450;7.461;297;6.092.591;669.030;10.981;11.872;195
PB;4.018.127;731.113;18.195;10.728;267;1.278.401;254.102;19.877;4.573;358;2.739.726;477.011;17.411;6.155;225
PE;9.557.071;1.242.001;12.996;23.269;243;4.079.575;538.806;13.207;13.371;328;5.477.496;703.195;12.838;9.898;181
PI;3.273.227;439.260;13.420;8.449;258;1.054.795;176.564;16.739;3.543;336;2.218.432;262.696;11.842;4.906;221
PR;11.433.957;3.041.284;26.599;47.082;412;3.654.960;741.720;20.294;15.834;433;7.778.997;2.299.564;29.561;31.248;402
RJ;17.264.943;2.986.844;17.300;78.392;454;13.069.650;2.147.329;16.430;60.785;465;4.195.293;839.515;20.011;17.607;420
RN;3.506.853;604.271;17.231;9.344;266;1.614.277;272.673;16.891;5.065;314;1.892.576;331.598;17.521;4.279;226
RO;1.777.225;505.111;28.421;7.527;424;556.237;140.829;25.318;2.869;516;1.220.988;364.282;29.835;4.658;381
RR;605.761;191.630;31.635;2.202;364;463.320;160.752;34.696;1.829;395;142.441;30.878;21.678;373;262
RS;11.377.239;3.162.117;27.793;43.207;380;4.340.733;1.037.503;23.902;19.047;439;7.036.506;2.124.614;30.194;24.160;343
SC;7.164.788;2.099.936;29.309;23.207;324;1.046.358;319.475;30.532;2.904;278;6.118.430;1.780.461;29.100;20.303;332
SE;2.298.696;368.756;16.042;6.579;286;961.120;221.437;23.039;3.645;379;1.337.576;147.319;11.014;2.934;219
SP;45.919.049;6.939.297;15.112;184.646;402;24.999.597;2.780.002;11.120;97.343;389;20.919.452;4.159.295;19.882;87.303;417
TO;1.572.866;388.544;24.703;4.316;274;484.674;150.240;30.998;1.455;300;1.088.192;238.304;21.899;2.861;263
